PaperKey,QuestionID,Year,Venue,VenueType,Title,Authors,DomainTopic,ScenarioType,MethodsUsed,Artifacts,ImpliedQuestions,PrimarySecondary,QuestionCategory,MetamodelTags,MoEs,MoPs,EvidenceType,Reproducibility,Access,SecurityLevel,DecisionType,ModelType,SourceURL,Citation,DomainSpecificHits,IsLikelyDomainSpecific,ImpliedQuestions_GenericDraft,GenericizationChanged,GenericQuestion,QuestionTemplate,InstantiationNotes,InstantiatedQuestion,GenericAcronymFlag
GAP-HMT,HMT-Q01,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Human-Machine Teaming,Claude Code (Draft),Human-machine teaming; automation; operator workload,Human-machine team operations scenario,Literature gap analysis,Draft questions,"How should automation levels dynamically adapt based on operator workload, stress, and situational complexity to optimize team performance?",Primary,Human-machine teaming,"Automation; Workload; Adaptation; Performance; Operator; System",Team performance; workload optimization,Automation adaptation accuracy; workload balance,Gap analysis,N/A,Draft,Unclassified,Adaptive automation design,Conceptual,,Gap Analysis (2025). Draft questions for human-machine teaming coverage gaps.,[],False,"How should automation levels dynamically adapt based on operator workload, stress, and situational complexity to optimize team performance?",False,"How should automation levels dynamically adapt based on operator workload, stress, and situational complexity to optimize team performance?",How,,"How should automation levels dynamically adapt based on operator workload, stress, and situational complexity to optimize team performance?",False
GAP-HMT,HMT-Q02,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Human-Machine Teaming,Claude Code (Draft),Human-machine teaming; automation; operator workload,Human-machine team operations scenario,Literature gap analysis,Draft questions,"What information should be presented to operators versus processed autonomously, and how should this allocation change based on mission phase and tempo?",Primary,Human-machine teaming,"Information; Automation; Allocation; Operator; Tempo; Decision",Information allocation effectiveness; operator awareness,Information relevance score; allocation adaptation time,Gap analysis,N/A,Draft,Unclassified,Information allocation design,Conceptual,,Gap Analysis (2025). Draft questions for human-machine teaming coverage gaps.,[],False,"What information should be presented to operators versus processed autonomously, and how should this allocation change based on mission phase and tempo?",False,"What information should be presented to operators versus processed autonomously, and how should this allocation change based on mission phase and tempo?",What,,"What information should be presented to operators versus processed autonomously, and how should this allocation change based on mission phase and tempo?",False
GAP-HMT,HMT-Q03,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Human-Machine Teaming,Claude Code (Draft),Human-machine teaming; automation; operator workload,Human-machine team operations scenario,Literature gap analysis,Draft questions,"Which interface designs and decision aids most effectively support rapid operator comprehension and appropriate trust calibration in human-machine teams?",Primary,Operator cognitive factors,"Interface; Trust; Decision; Operator; Design; Measure",Comprehension speed; trust calibration,Comprehension time; trust accuracy,Gap analysis,N/A,Draft,Unclassified,Interface design selection,Conceptual,,Gap Analysis (2025). Draft questions for human-machine teaming coverage gaps.,[],False,"Which interface designs and decision aids most effectively support rapid operator comprehension and appropriate trust calibration in human-machine teams?",False,"Which interface designs and decision aids most effectively support rapid operator comprehension and appropriate trust calibration in human-machine teams?",Which,,"Which interface designs and decision aids most effectively support rapid operator comprehension and appropriate trust calibration in human-machine teams?",False
GAP-HMT,HMT-Q04,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Human-Machine Teaming,Claude Code (Draft),Human-machine teaming; automation; operator workload,Human-machine team operations scenario,Literature gap analysis,Draft questions,"How should systems communicate their confidence, limitations, and reasoning to human teammates to enable effective oversight and intervention?",Primary,Human-machine teaming,"Transparency; Communication; Confidence; Oversight; Trust; Interface",Oversight effectiveness; intervention appropriateness,Explanation clarity score; intervention timing accuracy,Gap analysis,N/A,Draft,Unclassified,Transparency design,Conceptual,,Gap Analysis (2025). Draft questions for human-machine teaming coverage gaps.,[],False,"How should systems communicate their confidence, limitations, and reasoning to human teammates to enable effective oversight and intervention?",False,"How should systems communicate their confidence, limitations, and reasoning to human teammates to enable effective oversight and intervention?",How,,"How should systems communicate their confidence, limitations, and reasoning to human teammates to enable effective oversight and intervention?",False
GAP-HMT,HMT-Q05,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Human-Machine Teaming,Claude Code (Draft),Human-machine teaming; automation; operator workload,Human-machine team operations scenario,Literature gap analysis,Draft questions,"What training and rehearsal approaches best prepare operators to work effectively with autonomous teammates across both nominal and off-nominal conditions?",Primary,Operator cognitive factors,"Training; Operator; Autonomy; Performance; Scenario; Readiness",Training effectiveness; off-nominal readiness,Skill acquisition rate; off-nominal performance,Gap analysis,N/A,Draft,Unclassified,Training program design,Conceptual,,Gap Analysis (2025). Draft questions for human-machine teaming coverage gaps.,[],False,"What training and rehearsal approaches best prepare operators to work effectively with autonomous teammates across both nominal and off-nominal conditions?",False,"What training and rehearsal approaches best prepare operators to work effectively with autonomous teammates across both nominal and off-nominal conditions?",What,,"What training and rehearsal approaches best prepare operators to work effectively with autonomous teammates across both nominal and off-nominal conditions?",False
GAP-FAILURE,FAILURE-Q01,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Failure Modes & Graceful Degradation,Claude Code (Draft),Failure analysis; graceful degradation; system resilience,System failure scenario analysis,Literature gap analysis,Draft questions,"What single points of failure exist in the mission architecture, and which have no operational workaround if they occur during critical mission phases?",Primary,Failure mode analysis,"Failure; Architecture; Risk; Mission; Vulnerability; Criticality",SPOF identification completeness; workaround coverage,SPOF count; workaround availability rate,Gap analysis,N/A,Draft,Unclassified,Failure mode identification,Conceptual,,Gap Analysis (2025). Draft questions for failure mode coverage gaps.,[],False,"What single points of failure exist in the mission architecture, and which have no operational workaround if they occur during critical mission phases?",False,"What single points of failure exist in the mission architecture, and which have no operational workaround if they occur during critical mission phases?",What,,"What single points of failure exist in the mission architecture, and which have no operational workaround if they occur during critical mission phases?",False
GAP-FAILURE,FAILURE-Q02,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Failure Modes & Graceful Degradation,Claude Code (Draft),Failure analysis; graceful degradation; system resilience,System failure scenario analysis,Literature gap analysis,Draft questions,"How does mission effectiveness degrade as individual systems fail, and what is the minimum viable system configuration to achieve essential mission objectives?",Primary,Failure mode analysis,"Degradation; Performance; Mission; Configuration; Threshold; Measure",Degradation curve accuracy; MVP identification,Effectiveness vs failure count; MVP coverage,Gap analysis,N/A,Draft,Unclassified,Degradation analysis,Conceptual,,Gap Analysis (2025). Draft questions for failure mode coverage gaps.,[],False,"How does mission effectiveness degrade as individual systems fail, and what is the minimum viable system configuration to achieve essential mission objectives?",False,"How does mission effectiveness degrade as individual systems fail, and what is the minimum viable system configuration to achieve essential mission objectives?",How,,"How does mission effectiveness degrade as individual systems fail, and what is the minimum viable system configuration to achieve essential mission objectives?",False
GAP-FAILURE,FAILURE-Q03,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Failure Modes & Graceful Degradation,Claude Code (Draft),Failure analysis; graceful degradation; system resilience,System failure scenario analysis,Literature gap analysis,Draft questions,"Which failure combinations create cascading effects that exceed the sum of individual failures, and how can architecture be designed to contain such cascades?",Primary,Graceful degradation & recovery,"Cascade; Failure; Architecture; Containment; Risk; Design",Cascade containment; non-linear effect identification,Cascade propagation rate; containment effectiveness,Gap analysis,N/A,Draft,Unclassified,Cascade prevention design,Conceptual,,Gap Analysis (2025). Draft questions for failure mode coverage gaps.,[],False,"Which failure combinations create cascading effects that exceed the sum of individual failures, and how can architecture be designed to contain such cascades?",False,"Which failure combinations create cascading effects that exceed the sum of individual failures, and how can architecture be designed to contain such cascades?",Which,,"Which failure combinations create cascading effects that exceed the sum of individual failures, and how can architecture be designed to contain such cascades?",False
GAP-FAILURE,FAILURE-Q04,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Failure Modes & Graceful Degradation,Claude Code (Draft),Failure analysis; graceful degradation; system resilience,System failure scenario analysis,Literature gap analysis,Draft questions,"What automated and manual recovery procedures should be available for each failure mode, and how should operators be alerted and guided through recovery?",Primary,Graceful degradation & recovery,"Recovery; Procedure; Operator; Alert; Guidance; Failure",Recovery success rate; operator guidance effectiveness,Recovery time; procedure compliance rate,Gap analysis,N/A,Draft,Unclassified,Recovery procedure design,Conceptual,,Gap Analysis (2025). Draft questions for failure mode coverage gaps.,[],False,"What automated and manual recovery procedures should be available for each failure mode, and how should operators be alerted and guided through recovery?",False,"What automated and manual recovery procedures should be available for each failure mode, and how should operators be alerted and guided through recovery?",What,,"What automated and manual recovery procedures should be available for each failure mode, and how should operators be alerted and guided through recovery?",False
GAP-FAILURE,FAILURE-Q05,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Failure Modes & Graceful Degradation,Claude Code (Draft),Failure analysis; graceful degradation; system resilience,System failure scenario analysis,Literature gap analysis,Draft questions,"How should pre-mission planning account for potential system failures, and what contingency branches should be prepared for high-impact failure scenarios?",Primary,Failure mode analysis,"Planning; Contingency; Failure; Risk; Mission; Preparation",Contingency coverage; planning completeness,Contingency plan count; high-impact scenario coverage,Gap analysis,N/A,Draft,Unclassified,Contingency planning,Conceptual,,Gap Analysis (2025). Draft questions for failure mode coverage gaps.,[],False,"How should pre-mission planning account for potential system failures, and what contingency branches should be prepared for high-impact failure scenarios?",False,"How should pre-mission planning account for potential system failures, and what contingency branches should be prepared for high-impact failure scenarios?",How,,"How should pre-mission planning account for potential system failures, and what contingency branches should be prepared for high-impact failure scenarios?",False
GAP-TEMPORAL,TEMPORAL-Q01,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Temporal & Phasing Decisions,Claude Code (Draft),Capability phasing; transition planning; schedule risk,Capability transition scenario,Literature gap analysis,Draft questions,"When should new capabilities be fielded relative to evolving threat timelines, and how should uncertainty in both schedules affect transition planning?",Primary,Capability phasing & sequencing,"Schedule; Threat; Uncertainty; Transition; Decision; Risk",Fielding timing accuracy; threat alignment,Schedule variance; threat coverage gap,Gap analysis,N/A,Draft,Unclassified,Fielding timing decision,Conceptual,,Gap Analysis (2025). Draft questions for temporal/phasing coverage gaps.,[],False,"When should new capabilities be fielded relative to evolving threat timelines, and how should uncertainty in both schedules affect transition planning?",False,"When should new capabilities be fielded relative to evolving threat timelines, and how should uncertainty in both schedules affect transition planning?",When,,"When should new capabilities be fielded relative to evolving threat timelines, and how should uncertainty in both schedules affect transition planning?",False
GAP-TEMPORAL,TEMPORAL-Q02,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Temporal & Phasing Decisions,Claude Code (Draft),Capability phasing; transition planning; schedule risk,Capability transition scenario,Literature gap analysis,Draft questions,"What is the optimal sequencing of capability upgrades across a portfolio to maximize cumulative mission effectiveness while managing integration risk?",Primary,Capability phasing & sequencing,"Sequencing; Portfolio; Effectiveness; Integration; Risk; Optimization",Cumulative effectiveness; integration success,Sequencing optimality; integration defect rate,Gap analysis,N/A,Draft,Unclassified,Upgrade sequencing,Conceptual,,Gap Analysis (2025). Draft questions for temporal/phasing coverage gaps.,[],False,"What is the optimal sequencing of capability upgrades across a portfolio to maximize cumulative mission effectiveness while managing integration risk?",False,"What is the optimal sequencing of capability upgrades across a portfolio to maximize cumulative mission effectiveness while managing integration risk?",What,,"What is the optimal sequencing of capability upgrades across a portfolio to maximize cumulative mission effectiveness while managing integration risk?",False
GAP-TEMPORAL,TEMPORAL-Q03,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Temporal & Phasing Decisions,Claude Code (Draft),Capability phasing; transition planning; schedule risk,Capability transition scenario,Literature gap analysis,Draft questions,"How should legacy and modernized systems be operated in parallel during transition periods, and what is the cost of maintaining dual capabilities?",Primary,Capability phasing & sequencing,"Transition; Legacy; Modernization; Cost; Operations; Tradeoff",Transition smoothness; dual-operation cost,Parallel operation duration; dual capability overhead,Gap analysis,N/A,Draft,Unclassified,Transition operations planning,Conceptual,,Gap Analysis (2025). Draft questions for temporal/phasing coverage gaps.,[],False,"How should legacy and modernized systems be operated in parallel during transition periods, and what is the cost of maintaining dual capabilities?",False,"How should legacy and modernized systems be operated in parallel during transition periods, and what is the cost of maintaining dual capabilities?",How,,"How should legacy and modernized systems be operated in parallel during transition periods, and what is the cost of maintaining dual capabilities?",False
GAP-TEMPORAL,TEMPORAL-Q04,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Temporal & Phasing Decisions,Claude Code (Draft),Capability phasing; transition planning; schedule risk,Capability transition scenario,Literature gap analysis,Draft questions,"Which development schedule dependencies create the greatest risk to operational capability delivery, and where should schedule margin be allocated?",Primary,Schedule risk & dependencies,"Schedule; Dependency; Risk; Margin; Delivery; Capability",Schedule risk reduction; margin allocation effectiveness,Critical path risk score; margin utilization,Gap analysis,N/A,Draft,Unclassified,Schedule risk management,Conceptual,,Gap Analysis (2025). Draft questions for temporal/phasing coverage gaps.,[],False,"Which development schedule dependencies create the greatest risk to operational capability delivery, and where should schedule margin be allocated?",False,"Which development schedule dependencies create the greatest risk to operational capability delivery, and where should schedule margin be allocated?",Which,,"Which development schedule dependencies create the greatest risk to operational capability delivery, and where should schedule margin be allocated?",False
GAP-TEMPORAL,TEMPORAL-Q05,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Temporal & Phasing Decisions,Claude Code (Draft),Capability phasing; transition planning; schedule risk,Capability transition scenario,Literature gap analysis,Draft questions,"What decision criteria should trigger acceleration, delay, or cancellation of planned capability increments based on changing operational needs or technical progress?",Primary,Capability phasing & sequencing,"Decision; Criteria; Schedule; Adaptation; Capability; Trigger",Decision timeliness; criteria clarity,Trigger accuracy; decision response time,Gap analysis,N/A,Draft,Unclassified,Increment decision governance,Conceptual,,Gap Analysis (2025). Draft questions for temporal/phasing coverage gaps.,[],False,"What decision criteria should trigger acceleration, delay, or cancellation of planned capability increments based on changing operational needs or technical progress?",False,"What decision criteria should trigger acceleration, delay, or cancellation of planned capability increments based on changing operational needs or technical progress?",What,,"What decision criteria should trigger acceleration, delay, or cancellation of planned capability increments based on changing operational needs or technical progress?",False
GAP-TRAINING,TRAINING-Q01,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Training & Readiness,Claude Code (Draft),Training; operator readiness; simulation fidelity,Operator training and readiness scenario,Literature gap analysis,Draft questions,"What simulation fidelity and scenario coverage are required to adequately train operators for mission-critical tasks, and how should training effectiveness be measured?",Primary,Training & readiness,"Training; Simulation; Fidelity; Measure; Scenario; Effectiveness",Training adequacy; skill transfer,Simulation fidelity score; skill assessment pass rate,Gap analysis,N/A,Draft,Unclassified,Training program design,Conceptual,,Gap Analysis (2025). Draft questions for training coverage gaps.,[],False,"What simulation fidelity and scenario coverage are required to adequately train operators for mission-critical tasks, and how should training effectiveness be measured?",False,"What simulation fidelity and scenario coverage are required to adequately train operators for mission-critical tasks, and how should training effectiveness be measured?",What,,"What simulation fidelity and scenario coverage are required to adequately train operators for mission-critical tasks, and how should training effectiveness be measured?",False
GAP-TRAINING,TRAINING-Q02,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Training & Readiness,Claude Code (Draft),Training; operator readiness; simulation fidelity,Operator training and readiness scenario,Literature gap analysis,Draft questions,"How quickly do operator skills decay without practice, and what sustainment training frequency is required to maintain mission readiness?",Primary,Training & readiness,"Training; Skill; Decay; Readiness; Frequency; Sustainment",Skill retention; readiness maintenance,Skill decay rate; training frequency requirement,Gap analysis,N/A,Draft,Unclassified,Sustainment training planning,Conceptual,,Gap Analysis (2025). Draft questions for training coverage gaps.,[],False,"How quickly do operator skills decay without practice, and what sustainment training frequency is required to maintain mission readiness?",False,"How quickly do operator skills decay without practice, and what sustainment training frequency is required to maintain mission readiness?",How,,"How quickly do operator skills decay without practice, and what sustainment training frequency is required to maintain mission readiness?",False
GAP-TRAINING,TRAINING-Q03,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Training & Readiness,Claude Code (Draft),Training; operator readiness; simulation fidelity,Operator training and readiness scenario,Literature gap analysis,Draft questions,"Which mission tasks are most difficult to train effectively in simulation, and what live training resources are essential to maintain proficiency?",Primary,Training & readiness,"Training; Simulation; Live; Task; Proficiency; Resource",Training mode effectiveness; proficiency maintenance,Simulation limitation score; live training requirement,Gap analysis,N/A,Draft,Unclassified,Training resource allocation,Conceptual,,Gap Analysis (2025). Draft questions for training coverage gaps.,[],False,"Which mission tasks are most difficult to train effectively in simulation, and what live training resources are essential to maintain proficiency?",False,"Which mission tasks are most difficult to train effectively in simulation, and what live training resources are essential to maintain proficiency?",Which,,"Which mission tasks are most difficult to train effectively in simulation, and what live training resources are essential to maintain proficiency?",False
GAP-TRAINING,TRAINING-Q04,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Training & Readiness,Claude Code (Draft),Training; operator readiness; simulation fidelity,Operator training and readiness scenario,Literature gap analysis,Draft questions,"What training pipeline capacity and throughput are required to sustain the qualified operator population given attrition and force structure plans?",Primary,Training & readiness,"Training; Capacity; Pipeline; Attrition; Workforce; Planning",Pipeline adequacy; workforce sustainment,Training throughput; qualification rate,Gap analysis,N/A,Draft,Unclassified,Training capacity planning,Conceptual,,Gap Analysis (2025). Draft questions for training coverage gaps.,[],False,"What training pipeline capacity and throughput are required to sustain the qualified operator population given attrition and force structure plans?",False,"What training pipeline capacity and throughput are required to sustain the qualified operator population given attrition and force structure plans?",What,,"What training pipeline capacity and throughput are required to sustain the qualified operator population given attrition and force structure plans?",False
GAP-STAKEHOLDER,STAKEHOLDER-Q01,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Stakeholder & User Engagement,Claude Code (Draft),Stakeholder engagement; user feedback; requirements,Stakeholder coordination scenario,Literature gap analysis,Draft questions,"How should operational user feedback be systematically captured, prioritized, and incorporated into system evolution and capability development decisions?",Primary,Stakeholder engagement,"Stakeholder; Feedback; Requirements; Process; Priority; Evolution",Feedback incorporation rate; user satisfaction,Feedback capture completeness; incorporation latency,Gap analysis,N/A,Draft,Unclassified,Feedback process design,Conceptual,,Gap Analysis (2025). Draft questions for stakeholder engagement coverage gaps.,[],False,"How should operational user feedback be systematically captured, prioritized, and incorporated into system evolution and capability development decisions?",False,"How should operational user feedback be systematically captured, prioritized, and incorporated into system evolution and capability development decisions?",How,,"How should operational user feedback be systematically captured, prioritized, and incorporated into system evolution and capability development decisions?",False
GAP-STAKEHOLDER,STAKEHOLDER-Q02,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Stakeholder & User Engagement,Claude Code (Draft),Stakeholder engagement; user feedback; requirements,Stakeholder coordination scenario,Literature gap analysis,Draft questions,"What mechanisms ensure that mission engineering analyses address the actual decision needs of operational commanders and acquisition decision-makers?",Primary,Stakeholder engagement,"Stakeholder; Decision; Analysis; Alignment; Requirements; Value",Analysis relevance; decision support effectiveness,Decision-maker satisfaction; analysis utilization rate,Gap analysis,N/A,Draft,Unclassified,Analysis alignment,Conceptual,,Gap Analysis (2025). Draft questions for stakeholder engagement coverage gaps.,[],False,"What mechanisms ensure that mission engineering analyses address the actual decision needs of operational commanders and acquisition decision-makers?",False,"What mechanisms ensure that mission engineering analyses address the actual decision needs of operational commanders and acquisition decision-makers?",What,,"What mechanisms ensure that mission engineering analyses address the actual decision needs of operational commanders and acquisition decision-makers?",False
GAP-STAKEHOLDER,STAKEHOLDER-Q03,2025,Gap Analysis,Gap Analysis (Draft),Gap Questions: Stakeholder & User Engagement,Claude Code (Draft),Stakeholder engagement; user feedback; requirements,Stakeholder coordination scenario,Literature gap analysis,Draft questions,"Which stakeholder conflicts (e.g., near-term readiness vs. long-term modernization) most frequently impede mission engineering decisions, and how should they be resolved?",Primary,Stakeholder engagement,"Stakeholder; Conflict; Decision; Resolution; Tradeoff; Governance",Conflict resolution effectiveness; decision velocity,Conflict frequency; resolution time,Gap analysis,N/A,Draft,Unclassified,Conflict resolution governance,Conceptual,,Gap Analysis (2025). Draft questions for stakeholder engagement coverage gaps.,[],False,"Which stakeholder conflicts (e.g., near-term readiness vs. long-term modernization) most frequently impede mission engineering decisions, and how should they be resolved?",False,"Which stakeholder conflicts (e.g., near-term readiness vs. long-term modernization) most frequently impede mission engineering decisions, and how should they be resolved?",Which,,"Which stakeholder conflicts (e.g., near-term readiness vs. long-term modernization) most frequently impede mission engineering decisions, and how should they be resolved?",False
