session_id,date,hive,researcher,pages_produced,total_lines_written,total_files_created,total_files_modified,agents_spawned,agent_failures,swarm_topology,tokens_input,tokens_output,total_cost_usd,rework_files,wall_clock_hours,pages_per_hour,lines_per_hour,cost_per_page,cost_per_file,agent_utilization,tokens_per_artifact,rework_ratio
2026-02-25-postwach-01,2026-02-25,PostWach,P. Wach,,1088,4,1,4,0,mesh,,,,0,3.0,,362.6666666666667,,,1.0,,0.0
2026-02-25-postwach-02,2026-02-25,PostWach,P. Wach,,710,21,1,1,0,none,,,,2,2.0,,355.0,,,1.0,,0.09090909090909091
2026-03-02-nnsa-01,2026-03-02,MACQ,P. Wach,101,7220,18,1,8,0,hierarchical,,,,0,6.0,16.833333333333332,1203.3333333333333,,,1.0,,0.0
2026-03-02-nnsa-02,2026-03-02,MACQ,P. Wach,66,2712,16,2,7,0,hierarchical,,,,3,4.0,16.5,678.0,,,1.0,,0.16666666666666666
2026-03-03-postwach-01,2026-03-03,PostWach,P. Wach,5.0,1835,11,4,7,0,hierarchical,,,,0,1.5,3.3333333333333335,1223.3333333333333,,,1.0,,0.0
2026-03-03-postwach-02,2026-03-03,PostWach,P. Wach,60.0,2429,8,0,3,0,hierarchical,,,,0,1.5,40.0,1619.3333333333333,,,1.0,,0.0
2026-03-04-postwach-01,2026-03-04,PostWach,Wach,1,1244,2,1,0,0,none,,,,0,,,,,,,,0.0
2026-03-04-postwach-02,2026-03-04,PostWach,Paul Wach,109,4354,30,0,5,0,hierarchical,,,,1,1.0,109.0,4354.0,,,1.0,,0.03333333333333333
2026-03-06-postwach-01,2026-03-06,PostWach,Paul F. Wach,3.5,117,2,2,0,0,none,,,,1,1.5,2.3333333333333335,78.0,,,,,0.25
2026-03-06-roadmapping-01,2026-03-06,Roadmapping,pfwac,0,78450,281,4,0,0,none,,,,1,1.5,0.0,52300.0,,,,,0.0035087719298245615
2026-03-07-gi-joe-01,2026-03-07,GI-JOE,Paul Wach,0,448,8,1,0,0,none,,,,0,,,,,,,,0.0
2026-03-07-gi-joe-02,2026-03-07,GI-JOE,P. Wach,26,1044,12,1,0,0,none,,,,1,,,,,,,,0.07692307692307693
2026-03-07-postwach-01,2026-03-07,PostWach,Paul F. Wach,3.0,240,5,0,0,0,none,,,,0,2.5,1.2,96.0,,,,,0.0
2026-03-07-postwach-02,2026-03-07,PostWach,Wach,0,0,24,16,0,0,none,,,,0,,,,,,,,0.0
2026-03-07-postwach-03,2026-03-07,PostWach,Paul Wach,132,5287,17,1,3,0,star,,,,2,2.5,52.8,2114.8,,,1.0,,0.1111111111111111
2026-03-07-postwach-04,2026-03-07,PostWach,Paul F. Wach,206.0,7112,13,0,12,1,hierarchical,,,,0,4.0,51.5,1778.0,,,0.9166666666666666,,0.0
2026-03-07-postwach-05,2026-03-07,PostWach,Paul F. Wach,950,38300,27,0,7,7,star,,,,26,0.4166666666666667,2280.0,91920.0,,,0.0,,0.9629629629629629
2026-03-07-postwach-06,2026-03-07,PostWach,Paul F. Wach,2,660,3,0,0,0,none,,,,1,2.5,0.8,264.0,,,,,0.3333333333333333
2026-03-07-postwach-07,2026-03-07,PostWach,Wach,0,30,1,1,0,0,none,,,,0,,,,,,,,0.0
2026-03-09-gi-joe-01,2026-03-09,GI-JOE,P. Wach,130,5180,59,1,8,1,star,,,,4,,,,,,0.875,,0.06666666666666667
2026-03-09-postwach-02,2026-03-09,PostWach,P. Wach,14,2367,2,9,4,0,star,,,,1,,,,,,1.0,,0.09090909090909091
2026-03-10-postwach-01,2026-03-10,PostWach,Paul Wach,12,386,4,3,0,0,none,,,,1,,,,,,,,0.14285714285714285
2026-03-10-postwach-02,2026-03-10,PostWach,Paul F. Wach,5,7965,24,9,12,0,star,,,,1,3.0,1.6666666666666667,2655.0,,,1.0,,0.030303030303030304
2026-03-11-postwach-01,2026-03-11,PostWach,Wach,1,90,2,0,0,0,none,,,,0,,,,,,,,0.0
2026-03-11-postwach-02,2026-03-11,PostWach,Wach,0,0,1,0,0,0,none,,,,0,0.16666666666666666,0.0,0.0,,,,,0.0
2026-03-12-postwach-02,2026-03-12,PostWach,Paul Wach,4,335,4,1,0,0,none,,,,0,0.75,5.333333333333333,446.6666666666667,,,,,0.0
2026-03-12-postwach-03,2026-03-12,PostWach,Paul Wach,48,1937,16,2,4,0,star,,,,0,2.5,19.2,774.8,,,1.0,,0.0
2026-03-13-postwach-01,2026-03-13,PostWach,Paul Wach,6,456,4,1,2,0,star,,,,0,0.5,12.0,912.0,,,1.0,,0.0
2026-03-13-postwach-02,2026-03-13,PostWach,Wach,0,60,1,1,0,0,none,,,,0,0.16666666666666666,0.0,360.0,,,,,0.0
2026-03-13-postwach-03,2026-03-13,PostWach,Wach,0,95,1,1,0,0,none,,,,0,0.75,0.0,126.66666666666667,,,,,0.0
2026-03-13-postwach-04,2026-03-13,PostWach,Wach,33,2323,2,4,2,0,none,,,,2,6.0,5.5,387.1666666666667,,,1.0,,0.3333333333333333
2026-03-16-postwach-02,2026-03-16,PostWach,Paul Wach,0,48,0,1,0,0,none,,,,0,,,,,,,,0.0
2026-03-17-gi-joe-01,2026-03-17,GI-JOE,Paul Wach,62,2467,21,1,8,0,star,,,,3,2.0,31.0,1233.5,,,1.0,,0.13636363636363635
2026-03-17-postwach-02,2026-03-17,PostWach,Wach,0,0,0,0,0,0,none,,,,0,,,,,,,,
2026-03-17-postwach-03,2026-03-17,PostWach,Paul Wach,3,245,1,4,1,0,none,,,,0,,,,,,1.0,,0.0
2026-03-17-postwach-04,2026-03-17,PostWach,Paul Wach,3,954,6,5,1,0,none,,,,2,4.0,0.75,238.5,,,1.0,,0.18181818181818182
2026-03-18-sysmlv2-01,2026-03-18,SysMLv2,Paul Wach,33,1309,7,2,1,0,none,,,,1,,,,,,1.0,,0.1111111111111111
2026-03-19-sysmlv2-01,2026-03-19,SysMLv2,Paul Wach,0,100,1,0,0,0,none,,,,0,,,,,,,,0.0
2026-03-20-postwach-01,2026-03-20,PostWach,Paul Wach,3,152,217,2,1,0,none,,,,2,2.5,1.2,60.8,,,1.0,,0.0091324200913242
2026-03-23-postwach-01,2026-03-23,PostWach,Paul Wach,9,370,4,3,3,0,star,,,,0,2.5,3.6,148.0,,,1.0,,0.0
2026-03-23-postwach-02,2026-03-23,PostWach,Paul Wach,3,127,1,7,4,0,star,,,,0,1.0,3.0,127.0,,,1.0,,0.0
2026-03-24-postwach-01,2026-03-24,PostWach,Paul Wach,50,3741,14,1,6,2,star,,,,4,2.75,18.181818181818183,1360.3636363636363,,,0.6666666666666666,,0.26666666666666666
2026-03-24-postwach-02,2026-03-24,PostWach,Paul Wach,1,1418,3,2,0,0,none,,,,1,1.25,0.8,1134.4,,,,,0.2
2026-03-24-postwach-03,2026-03-24,PostWach,Paul Wach,0,0,0,0,0,0,none,,,,0,0.16666666666666666,0.0,0.0,,,,,
2026-03-25-postwach-01,2026-03-25,PostWach,Paul Wach,0,0,0,0,0,0,none,,,,0,0.16666666666666666,0.0,0.0,,,,,
2026-03-25-postwach-02,2026-03-25,PostWach,Paul Wach,3,0,0,0,3,1,star,,,,0,1.0833333333333333,2.7692307692307696,0.0,,,0.6666666666666666,,
2026-03-25-postwach-03,2026-03-25,PostWach,Paul Wach,4,175,2,0,0,0,none,,,,0,,,,,,,,0.0
2026-03-25-postwach-04,2026-03-25,PostWach,Paul Wach,2,90,0,0,0,0,none,,,,0,,,,,,,,
2026-03-26-gi-joe-01,2026-03-26,GI-JOE,Paul Wach,41,1644,14,1,0,0,none,,,,1,,,,,,,,0.06666666666666667
2026-03-26-gi-joe-02,2026-03-26,GI-JOE,Paul F. Wach,5,290,3,1,0,0,none,,,,0,,,,,,,,0.0
2026-03-26-postwach-01,2026-03-26,PostWach,Paul Wach,8,645,5,2,4,1,star,,,,0,14.0,0.5714285714285714,46.07142857142857,,,0.75,,0.0
2026-03-26-postwach-02,2026-03-26,PostWach,Paul Wach,12,1395,9,3,8,1,star,,,,2,15.5,0.7741935483870968,90.0,,,0.875,,0.16666666666666666
2026-03-27-gijoe-01,2026-03-27,GI-JOE,Paul Wach,22,880,2,0,3,0,star,,,,0,,,,,,1.0,,0.0
2026-03-27-postwach-01,2026-03-27,PostWach,Paul Wach,18,2450,11,0,4,0,star,,,,0,6.0,3.0,408.3333333333333,,,1.0,,0.0
2026-03-27-postwach-02,2026-03-27,PostWach,Paul Wach,14,2100,7,0,4,0,star,,,,2,6.0,2.3333333333333335,350.0,,,1.0,,0.2857142857142857
2026-03-30-gijoe-01,2026-03-30,GI-JOE,Paul Wach,58,2303,23,4,10,0,star,,,,2,,,,,,1.0,,0.07407407407407407
2026-03-31-gi-joe-01,2026-03-31,GI-JOE,Paul Wach,~3,~383,3,3,5,0,star,,,,1,,,,,,1.0,,0.16666666666666666
2026-03-31-gijoe-01,2026-03-31,GI-JOE,Paul Wach,7,287,1,8,1,0,star,,,,8,,,,,,1.0,,0.8888888888888888
2026-03-31-postwach-01,2026-03-31,PostWach,Paul Wach,4,270,6,2,3,3,star,,,,1,3.5,1.1428571428571428,77.14285714285714,,,0.0,,0.125
2026-03-31-postwach-02,2026-03-31,PostWach,Paul Wach,8,2658,17,4,8,0,star,,,,0,4.5,1.7777777777777777,590.6666666666666,,,1.0,,0.0
2026-03-31-postwach-03,2026-03-31,PostWach,Wach,0,0,0,0,0,0,none,,,,0,,,,,,,,
2026-03-31-postwach-04,2026-03-31,PostWach,Paul Wach,2,175,2,0,1,0,none,,,,0,,,,,,1.0,,0.0
2026-04-01-postwach-01,2026-04-01,PostWach,Paul Wach,0.3,12,5,1,1,0,none,,,,0,7.25,0.041379310344827586,1.6551724137931034,,,1.0,,0.0
2026-04-02-postwach-02,2026-04-02,PostWach,Paul Wach,8,1400,5,0,3,0,star,,,,1,3.5,2.2857142857142856,400.0,,,1.0,,0.2
2026-04-03-postwach-02,2026-04-03,PostWach,Paul Wach,35,4330,12,1,10,0,star,,,,0,14.0,2.5,309.2857142857143,,,1.0,,0.0
2026-04-05-postwach-01,2026-04-05,PostWach,Paul Wach,15,2095,18,5,15,,hierarchical,,,,,7.0,2.142857142857143,299.2857142857143,,,1.0,,0.0
2026-04-06-postwach-01,2026-04-06,PostWach,Paul Wach,0,185,3,0,0,,none,,,,,1.0,0.0,185.0,,,,,0.0
2026-04-07-postwach-01,2026-04-07,PostWach,Paul Wach,10,390,20,1,8,,hierarchical,,,,,4.0,2.5,97.5,,,1.0,,0.0
2026-04-08-postwach-01,2026-04-08,PostWach,Paul Wach,0,40,3,0,0,,none,,,,,0.5,0.0,80.0,,,,,0.0
2026-04-10-postwach-02,2026-04-10,PostWach,Paul Wach,25,2263,10,1,7,0,star,,,,3,8.0,3.125,282.875,,,1.0,,0.2727272727272727
2026-04-10-postwach-03,2026-04-10,PostWach,Paul Wach,112,4494,26,15,10,1,star,,,,4,11.0,10.181818181818182,408.54545454545456,,,0.9,,0.0975609756097561
2026-04-10-sead-01,2026-04-10,SEAD,Paul Wach,0,236,5,9,3,0,star,,,,0,,,,,,1.0,,0.0
2026-04-11-postwach-01,2026-04-11,PostWach,Paul Wach,30,1197,2,3,3,0,star,,,,2,6.0,5.0,199.5,,,1.0,,0.4
2026-04-11-sead-01,2026-04-11,SEAD,Paul Wach,0,457,2,4,1,0,star,,,,1,,,,,,1.0,,0.16666666666666666
2026-04-11-sead-02,2026-04-11,SEAD,Paul Wach,5,203,1,2,0,0,none,,,,1,0.5,10.0,406.0,,,,,0.3333333333333333
2026-04-12-gijoe-01,2026-04-12,GI-JOE,Paul Wach,22,5530,21,4,8,0,hierarchical,~380000,~60000,~8.50,3,3.0,7.333333333333333,1843.3333333333333,,,1.0,,0.12
2026-04-12-postwach-01,2026-04-12,PostWach,Paul Wach,67,~10000,~65,~15,24,14,hybrid,,,,3,,,,,,0.4166666666666667,,
2026-04-12-postwach-02,2026-04-12,PostWach,Paul Wach,~12,826,15,10,1,0,none,,,,3,,,,,,1.0,,0.12
2026-04-12-sead-01,2026-04-12,SEAD,Paul Wach,16,670,8,1,4,0,mesh,,,,0,0.8333333333333334,19.2,804.0,,,1.0,,0.0
2026-04-13-postwach-01,2026-04-13,PostWach,Paul Wach,3,904,5,0,2,0,none,,,,0,0.5,6.0,1808.0,,,1.0,,0.0
2026-04-13-postwach-02,2026-04-13,PostWach,Paul Wach,10,720,3,0,0,0,none,,,,1,,,,,,,,0.3333333333333333
2026-04-13-postwach-03,2026-04-13,PostWach,Paul Wach,3,409,4,4,2,0,none,,,,2,1.5,2.0,272.6666666666667,,,1.0,,0.25
2026-04-14-postwach-01,2026-04-14,PostWach,Paul Wach,9,1605,8,5,4,0,star,,,,0,3.1666666666666665,2.8421052631578947,506.8421052631579,,,1.0,,0.0
2026-04-14-postwach-02,2026-04-14,PostWach,Paul Wach,~9,~2100,16,1,4,0,mesh,,,,3,,,,,,1.0,,0.17647058823529413
2026-04-14-postwach-03,2026-04-14,PostWach,Paul Wach,~3,~235,2,0,1,0,none,,,,0,,,,,,1.0,,0.0
2026-04-20-postwach-01,2026-04-20,PostWach,Paul Wach,0,0,0,0,0,0,none,,,,0,,,,,,,,
2026-04-20-postwach-02,2026-04-20,PostWach,Paul Wach,49,1975,15,0,15,0,hierarchical,,,,3,,,,,,1.0,,0.2
2026-04-21-postwach-01,2026-04-21,PostWach,Paul Wach,4,324,2,0,3,0,mesh,,,,0,0.5166666666666667,7.741935483870967,627.0967741935483,,,1.0,,0.0
2026-04-21-postwach-02,2026-04-21,PostWach,Paul Wach,12,631,3,12,5,0,mesh,,,,1,3.5,3.4285714285714284,180.28571428571428,,,1.0,,0.06666666666666667
2026-04-21-postwach-04,2026-04-21,PostWach,Paul Wach,42,1685,10,5,4,0,none,,,,1,4.75,8.842105263157896,354.7368421052632,,,1.0,,0.06666666666666667
2026-04-21-sead-01,2026-04-21,SEAD,Paul Wach,10,640,4,3,0,0,none,,,,1,5.45,1.8348623853211008,117.43119266055045,,,,,0.14285714285714285
2026-04-22-postwach-01,2026-04-22,PostWach,Paul Wach,12,467,8,2,1,0,none,,,,2,7.5,1.6,62.266666666666666,,,1.0,,0.2
2026-04-22-postwach-02,2026-04-22,PostWach,Paul Wach,16,655,5,27,0,0,none,,,,0,3.0,5.333333333333333,218.33333333333334,,,,,0.0
2026-04-22-postwach-03,2026-04-22,PostWach,Paul Wach,54,2181,11,3,4,0,none,,,,2,8.0,6.75,272.625,,,1.0,,0.14285714285714285
2026-04-23-gi-joe-01,2026-04-23,GI-JOE,Paul Wach,5,370,6,8,0,0,none,,,,0,1.6,3.125,231.25,,,,,0.0
2026-04-23-gi-joe-02,2026-04-23,GI-JOE,Paul Wach,2,256,2,2,0,0,none,,,,0,0.9166666666666666,2.181818181818182,279.2727272727273,,,,,0.0
2026-04-23-postwach-01,2026-04-23,PostWach,Wach,3,2934,17,9,1,0,none,,,,2,,,,,,1.0,,0.07692307692307693
2026-04-23-postwach-02,2026-04-23,PostWach,Wach,4,362,3,1,0,0,none,,,,0,,,,,,,,0.0
2026-04-23-postwach-03,2026-04-23,PostWach,Wach,11,441,4,2,4,0,none,,,,0,,,,,,1.0,,0.0
2026-04-28-postwach-01,2026-04-28,PostWach,Paul Wach,~12,~2400,13,4,0,0,none,,,,4,4.883333333333334,,,,,,,0.23529411764705882
2026-04-29-postwach-01,2026-04-29,PostWach,Paul Wach,4,790,6,0,0,0,none,,,,1,3.75,1.0666666666666667,210.66666666666666,,,,,0.16666666666666666
2026-04-29-postwach-02,2026-04-29,PostWach,Paul Wach,3,185,2,1,0,0,none,,,,0,0.6166666666666667,4.864864864864865,300.0,,,,,0.0
2026-04-29-postwach-03,2026-04-29,PostWach,Paul Wach,4,630,7,2,0,0,none,,,,1,2.5,1.6,252.0,,,,,0.1111111111111111
2026-04-30-postwach-01,2026-04-30,PostWach,Paul Wach,50,12000,50,1,20,0,hierarchical-mesh,,,,3,2.0,25.0,6000.0,,,1.0,,0.058823529411764705
2026-05-04-postwach-01,2026-05-04,PostWach,Paul Wach,35,3560,17,1,1,0,hierarchical,,,,1,6.5,5.384615384615385,547.6923076923077,,,1.0,,0.05555555555555555
2026-05-04-postwach-02,2026-05-04,PostWach,Paul Wach,5,665,16,2,0,0,none,,,,1,4.5,1.1111111111111112,147.77777777777777,,,,,0.05555555555555555
2026-05-04-postwach-03,2026-05-04,PostWach,Paul Wach,4,1175,11,0,0,0,none,,,,0,3.5,1.1428571428571428,335.7142857142857,,,,,0.0
2026-05-04-postwach-04,2026-05-04,PostWach,Gemini CLI,0,20,0,1,0,0,none,,,,[],,,,,,,,0.0
2026-05-04-sysmlv2-01,2026-05-04,SysMLv2,P. Wach,14,3507,7,8,8,0,mesh,,,,1,1.75,8.0,2004.0,,,1.0,,0.06666666666666667
sysmlv2-debugging-retroactive,2026-02-01,SysMLv2,P. Wach,,387,25,8,0,0,none,,,,2,,,,,,,,0.06060606060606061
